2026-02-11 22:36:35,051 INFO    MainThread:18124 [wandb_setup.py:_flush():81] Current SDK version is 0.24.2
2026-02-11 22:36:35,052 INFO    MainThread:18124 [wandb_setup.py:_flush():81] Configure stats pid to 18124
2026-02-11 22:36:35,052 INFO    MainThread:18124 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-11 22:36:35,052 INFO    MainThread:18124 [wandb_init.py:setup_run_log_directory():717] Logging user logs to F:\maharshi_industries\wandb\run-20260211_223635-ie6t215i\logs\debug.log
2026-02-11 22:36:35,052 INFO    MainThread:18124 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to F:\maharshi_industries\wandb\run-20260211_223635-ie6t215i\logs\debug-internal.log
2026-02-11 22:36:35,052 INFO    MainThread:18124 [wandb_init.py:init():844] calling init triggers
2026-02-11 22:36:35,052 INFO    MainThread:18124 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-02-11 22:36:35,052 INFO    MainThread:18124 [wandb_init.py:init():892] starting backend
2026-02-11 22:36:37,421 INFO    MainThread:18124 [wandb_init.py:init():895] sending inform_init request
2026-02-11 22:36:37,461 INFO    MainThread:18124 [wandb_init.py:init():903] backend started and connected
2026-02-11 22:36:37,508 INFO    MainThread:18124 [wandb_init.py:init():973] updated telemetry
2026-02-11 22:36:37,512 INFO    MainThread:18124 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-11 22:36:39,580 INFO    MainThread:18124 [wandb_init.py:init():1042] starting run threads in backend
2026-02-11 22:36:39,796 INFO    MainThread:18124 [wandb_run.py:_console_start():2529] atexit reg
2026-02-11 22:36:39,796 INFO    MainThread:18124 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-02-11 22:36:39,796 INFO    MainThread:18124 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-02-11 22:36:39,796 INFO    MainThread:18124 [wandb_run.py:_redirect():2469] Redirects installed.
2026-02-11 22:36:39,797 INFO    MainThread:18124 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-11 22:36:39,810 INFO    wandb-AsyncioManager-main:18124 [service_client.py:_forward_responses():94] Reached EOF.
2026-02-11 22:36:39,810 INFO    wandb-AsyncioManager-main:18124 [mailbox.py:close():154] Closing mailbox, abandoning 1 handles.
